"The Hunger Games (The Hunger Games, #1)",MEANS Everdeen,Everdeen HUNGER,HUNGER GAMES,all MEANS Everdeen,The Everdeen HUNGER,a HUNGER GAME,contender,before?îand,sentence,MEANS,Everdeen,HUNGER,,,
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",Wizarding Witchcraft,Witchcraft Voldemort,Voldemort Potter,A Wizarding Witchcraft,a Witchcraft Voldemort,the Voldemort Potter,heartless,takeover,stairs,Wizarding,Witchcraft,Voldemort,,,
"Twilight (Twilight, #1)",Twilight Edward,Edward Twilight,a Twilight Edward,a Edward Twilight,him?îand,bite,part,Twilight,Edward,,,,,,
To Kill a Mockingbird,Mockingbird Alabama,Alabama Lee,Lee Pulitzer,both Mockingbird Alabama,an Alabama Lee,this Lee Pulitzer,Mockingbird,Alabama,Lee,pathos,conscience,kindness,,,
The Great Gatsby,Gatsby Buchanan,Buchanan Jazz,Jazz Fitzgerald,This Gatsby Buchanan,The Buchanan Jazz,an Jazz Fitzgerald,gin,drink,achievement,Gatsby,Buchanan,Jazz,,,
The Fault in Our Stars,Cancer Waters,Waters Augustus,Augustus Hazel,The Cancer Waters,a Waters Augustus,the Augustus Hazel,Fault,diagnosis,twist,Cancer,Waters,Augustus,,,
The Hobbit,Magnificent Gandalf,Gandalf Gollum,Gollum Baggins,this Magnificent Gandalf,The Gandalf Gollum,a Gollum Baggins,hobbit,hole,dry,Magnificent,Gandalf,Gollum,,,
The Catcher in the Rye,Salinger Holden,Holden Caulfield,Caulfield Catcher,any Salinger Holden,every Holden Caulfield,The Caulfield Catcher,vernacular,comment,profanity,Salinger,Holden,Caulfield,,,
Pride and Prejudice,Regency Bennet,Bennet Prejudice,Prejudice Austen,this Regency Bennet,The Bennet Prejudice,a Prejudice Austen,Regency,Bennet,Prejudice,sparring,beau,flirtation,,,
The Kite Runner,Kite Runner,Runner Afghanistan,Afghanistan Kite,an Runner Afghanistan,the Afghanistan Kite,servant,process,possibility,,,,,,,
"Divergent (Divergent, #1)",Abnegation Erudite,Erudite Tris,Tris Beatrice,those Abnegation Erudite,some Erudite Tris,each Tris Beatrice,cultivation,selfless,initiation,Abnegation,Erudite,Tris,,,
1984,Orwell George,George Orwell,No Orwell George,an George Orwell,utopia,sentence,passage,Orwell,George,,,,,,
Animal Farm,Animal Orwell,Orwell Farm,Farm Russia,All Animal Orwell,some Orwell Farm,a Farm Russia,novel?îa,totalitarianism,banner,Animal,Orwell,Farm,,,
The Diary of a Young Girl,Franks Annexe,Annexe Cut,Cut Gestapo,another Franks Annexe,an Annexe Cut,this Cut Gestapo,Franks,Annexe,Cut,classic?îa,frailty,boredom,,,
"The Girl with the Dragon Tattoo (Millennium, #1)",Vanger Mikael,Mikael Stieg,Stieg Tattoo,these Vanger Mikael,The Mikael Stieg,a Stieg Tattoo,these Vanger,The Mikael,a Stieg,iniquity,libel,vein,,,
"Catching Fire (The Hunger Games, #2)",Peeta Katniss,Katniss SPARKS,SPARKS Gale,each Peeta Katniss,an Katniss SPARKS,all SPARKS Gale,Peeta,Katniss,SPARKS,,,,,,
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",Sirius Tragic,Tragic Azkaban,Azkaban Wizarding,A Sirius Tragic,this Tragic Azkaban,that Azkaban Wizarding,wizardry,broom,sport,Sirius,Tragic,Azkaban,,,
"The Fellowship of the Ring (The Lord of the Rings, #1)",Baggins Cracks,Cracks Bilbo,Bilbo Doom,all Baggins Cracks,The Cracks Bilbo,the Bilbo Doom,task,page,cousin,Baggins,Cracks,Bilbo,,,
"Mockingjay (The Hunger Games, #3)",HUNGER GAMES,GAMES Everdeen,Everdeen Katniss,no HUNGER GAMES,The GAMES Everdeen,all Everdeen Katniss,period,revenge,trilogy,HUNGER,GAMES,Everdeen,,,
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",Quidditch Ordinary,Ordinary Wizarding,Wizarding Level,these Quidditch Ordinary,this Ordinary Wizarding,the Wizarding Level,corridor,exams,boundless,Quidditch,Ordinary,Wizarding,,,
The Lovely Bones,Susie,Salmon,Lovely,Susie Salmon,Salmon Lovely,Lovely December,all Susie Salmon,The Salmon Lovely,a Lovely December,all Susie,The Salmon,a Lovely,trading,unraveling,heaven
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",Dursleys Wizardry,Wizardry Malfoy,Malfoy Hagrid,all Dursleys Wizardry,an Wizardry Malfoy,a Malfoy Hagrid,bathroom,rival,strike,Dursleys,Wizardry,Malfoy,,,
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",Weasleys Dursleys,Dursleys Cho,Cho Quidditch,this Weasleys Dursleys,an Dursleys Cho,a Cho Quidditch,competition,wizard,event,Weasleys,Dursleys,Cho,,,
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",Hagrid Eaters,Eaters Voldemort,Voldemort Drive,the Hagrid Eaters,the Eaters Voldemort,charm,enemy,stop,Hagrid,Eaters,Voldemort,,,,
"The Da Vinci Code (Robert Langdon, #2)",Neveu Vinci?îand,Vinci?îand Leonardo,Leonardo Langdon,An Neveu Vinci?îand,every Vinci?îand Leonardo,all Leonardo Langdon,symbologist,curator,faceless,Neveu,Vinci?îand,Leonardo,,,
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",Dumbledore Voldemort,Voldemort Muggle,Muggle Ron,some Dumbledore Voldemort,The Voldemort Muggle,all Muggle Ron,vulnerability,Order,stage,Dumbledore,Voldemort,Muggle,,,
Lord of the Flies,Flies Lord,Lord ????Flies,no Flies Lord,an Lord ??this ??Flies,supervision,howls,treatise,Flies,Lord,,,,,,
Romeo and Juliet,Romeo Juliet,Juliet Shakespeare,Shakespeare Romeo,this Romeo Juliet,all Juliet Shakespeare,an Shakespeare Romeo,Romeo,Juliet,Shakespeare,union,movement,language,,,
Gone Girl,Carthage Dunne,Dunne Tribune,Tribune Gillian,every Carthage Dunne,any Dunne Tribune,this Tribune Gillian,every Carthage,any Dunne,this Tribune,McMansion,perfectionist,statement,,,
The Help,Skeeter Minny,Minny Constantine,Constantine Help,another Skeeter Minny,these Minny Constantine,both Constantine Help,degree,till,tongue,,,,,,
Of Mice and Men,Salinas Mice,Mice Lennie,Lennie Steinbeck,some Salinas Mice,each Mice Lennie,a Lennie Steinbeck,ranch,jealousy,cruelty,Salinas,Mice,Lennie,,,
Memoirs of a Geisha,Geisha Memoirs,Memoirs Japan,Japan Geisha,A Geisha Memoirs,this Memoirs Japan,a Japan Geisha,Geisha,Memoirs,Japan,paramount,bidder,virginity,,,
